MPO_AREA,MPO_FIPS,MPO_NAME,population,injuries,collisions,injury_rate,collision_rate,year
Boston,MAPC,Metropolitan Area Planning Council,4270286,920,877,4.308844887672628,4.107453224444452,2015
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,1368776,566,540,8.270162539378248,7.89026107997218,2015
Chicago,CMAP,Chicago Metropolitan Agency for Planning,8505977,2022,1871,4.754303944155974,4.3992594854183125,2015
Dallas,NCTCOG,North Central Texas Council of Governments,6949498,3032,2798,8.72581012326358,8.05238018630986,2015
Denver,DRCOG,Denver Regional Council of Governments,2973960,911,855,6.126511452743143,5.749909211959811,2015
Detroit,SEMCOG,Southeast Michigan Council of Governments,4712709,1837,1720,7.795940721143614,7.299411018163863,2015
Houston,H-GAC,Houston-Galveston Area Council,6514602,3192,2963,9.799524207311514,9.096488166122812,2015
Los Angeles,SCAG,Southern California Association of Governments,18566297,6761,6259,7.283089352712606,6.742324546461796,2015
Miami,SEFTC,Southeast Florida Transportation Council,5861000,2951,2766,10.069953932775977,9.438662344309845,2015
Minneapolis,Met Council,Metropolitan Council,2952114,520,478,3.5228991834326178,3.238357326309214,2015
New York City,NYMTC,New York Metropolitan Transportation Council,12670219,2817,2668,4.4466476862002144,4.2114504887405655,2015
Newark,NJPTA,North Jersey Transporttrion Planning Authority,6688013,1805,1697,5.397716780753865,5.074750901351417,2015
Orlando,MetroPlan,Metro Plan Orlando,1967255,1092,1005,11.101763624949486,10.217282457027686,2015
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,5689169,1891,1781,6.647719552714992,6.261019843144051,2015
Phoenix,MAG,Maricopa Association of Governments,4407915,2132,1983,9.673507769546372,8.997451175896087,2015
Portland,Metro,Oregon Metro,1714066,434,418,5.06398236707338,4.87729177289556,2015
Sacramento,SACOG,Sacramento Area Council of Governments,2390209,1055,958,8.827679922550706,8.016035417823295,2015
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,2265906,1240,1153,10.944849433295115,10.176944674668764,2015
San Diego,SANDAG,San Diego Association of Governments,3223096,1096,1030,6.800914400315721,6.391370284968242,2015
Seattle,PSRC,Puget Sound Regional Council,3869802,952,899,4.920148369348095,4.646232546264641,2015
St Louis,EWG,East-West Gateway Council of Governments,2267461,1004,930,8.855720120434265,8.203007681278752,2015
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,4390555,2876,2688,13.100849437030172,12.244465676890508,2015
Washington DC,COG,Metropolitan Washington Council of Governments,5093353,1319,1222,5.179299373124149,4.798410791476656,2015
Atlanta,ARC,Atalanta Regional Commission,4577546,1962,1852,8.572278683818796,8.091671825908467,2016
Austin,CAMPO,Capital Area Metropoltian Planning Organization,1987199,1102,991,11.090987867848163,9.973837547220986,2016
Baltimore,BMC,Baltimore Metropolitan Council,2159873,864,795,8.000470398028032,7.361543942629961,2016
Bay Area,MTC,Metropolitan Transportation Commission,7530781,2131,2007,5.659439572070944,5.3301244585388945,2016
Boston,MAPC,Metropolitan Area Planning Council,4302566,937,884,4.355540391478016,4.109175780220455,2016
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,1396881,609,575,8.719425634681837,8.232626830775134,2016
Chicago,CMAP,Chicago Metropolitan Agency for Planning,8501507,2121,1968,4.989703590198773,4.629767404767178,2016
Dallas,NCTCOG,North Central Texas Council of Governments,7073863,3278,3015,9.2679205124555,8.524338116245678,2016
Denver,DRCOG,Denver Regional Council of Governments,3025352,1021,951,6.749627811904202,6.286871742527811,2016
Detroit,SEMCOG,Southeast Michigan Council of Governments,4716448,1930,1803,8.184125002544286,7.6455841345012185,2016
Houston,H-GAC,Houston-Galveston Area Council,6651406,3364,3112,10.115154600395766,9.357420070282883,2016
